edad,sexo,Nivel_edu,size_localidad,Indigena,edu_madre,edu_padre,hermanos,ingreso,color_piel,region
37,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte
42,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,6,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte
44,1 Hombre,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte
25,1 Hombre,Normal de licenciatura,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,Preparatoria general,Preparatoria general,1,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",I,Norte
55,2 Mujer,Preparatoria técnica,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria general,Preparatoria general,2,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",F,Centro
40,1 Hombre,Profesional,"Pueblo (menos de 2,500 habitantes)",Sí,Normal de licenciatura,Normal de licenciatura,7,"Igual a un salario mínimo ($2,400)",F,Sur
38,2 Mujer,Normal de licenciatura,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte
44,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,1,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",I,Norte
44,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,,7,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte
54,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,,4,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Norte
63,1 Hombre,Secundaria general,Metrópoli (más de 500 mil habitantes),No,,,2,No quiso dar información,H,Centro-norte
57,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,12,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
38,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte
30,2 Mujer,Profesional,Metrópoli (más de 500 mil habitantes),No,Secundaria general,Primaria,5,"Igual a un salario mínimo ($2,400)",F,Centro-norte
44,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,4,"Menor a 1 salario mínimo ($0 – $2,399)",J,Norte-occidente
59,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Menor a 1 salario mínimo ($0 – $2,399)",I,Norte-occidente
57,2 Mujer,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,6,"Menor a 1 salario mínimo ($0 – $2,399)",G,Norte-occidente
50,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),Sí,Primaria,,12,"Menor a 1 salario mínimo ($0 – $2,399)",H,Sur
25,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Secundaria general,Primaria,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Sur
43,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,9,"Igual a un salario mínimo ($2,400)",H,Norte-occidente
30,2 Mujer,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,Primaria,,1,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro
37,1 Hombre,Secundaria técnica,Metrópoli (más de 500 mil habitantes),No,Primaria,Primaria,4,No quiso dar información,G,Centro
48,2 Mujer,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,8,NS,H,Centro-norte
36,2 Mujer,Secundaria general,Metrópoli (más de 500 mil habitantes),Sí,Primaria,Primaria,3,NS,G,Centro
61,2 Mujer,Ninguno/no fue a la escuela,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,10,"Igual a un salario mínimo ($2,400)",I,Norte-occidente
35,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,3,"Menor a 1 salario mínimo ($0 – $2,399)",H,Sur
