folio,Estado,p24,p43,p43m,p60,p151,region,escolaridadh,per_esc_h,per_esc_pm,per_ing_14,per_ing_hoy,mujer,edad,indigena,movilidad_ascendente,sin_movilidad,movilidad_descendente,prob,X
2111400011567001070201,21,4,2,98,9,7,4,8,4,3,3,5,0,64,0,1,0,0,-0.8061993326988561,-1.6116967537821494
1512100012386013250301,15,2,4,11,2,8,4,11,7,10,10,9,0,34,0,0,0,1,-1.7472985420276759,-1.024098256851596
0900400010299001270201,9,5,2,2,7,7,4,6,2,3,1,4,0,54,0,1,0,0,0.05126666694536186,-2.2065588987443516
1510400011809002230401,15,1,4,4,3,11,4,17,10,7,10,10,1,36,0,0,1,0,-1.3144655052302852,-0.12553419048189407
1410100220000001110101,14,3,2,4,10,8,3,12,7,7,8,4,1,42,0,0,0,1,-0.6923758829640067,-1.4718968698425001
2500100010031014570501,25,5,2,2,11,8,2,6,2,2,4,3,0,56,0,0,0,1,0.8241670735004697,-2.469501884583488
060100001031A005800401,6,4,11,7,4,9,3,17,10,10,10,8,1,39,0,0,0,1,-1.0658064651333596,-0.992083167255499
1412002314145045120401,14,3,2,4,6,7,3,12,7,7,8,1,0,36,0,0,0,1,-1.354131759132588,-1.506133716661925
1510400012173014250201,15,5,2,2,1,7,4,16,9,4,5,10,0,43,0,1,0,0,-0.69685683465596,-1.2807242544971473
280090001064A011030501,28,4,2,2,7,8,1,9,4,4,1,3,1,45,0,1,0,0,-0.3956041954642382,-1.7972766566372003
0200400014730015970301,2,1,2,4,5,7,1,12,7,7,10,9,1,32,0,0,0,1,-1.6745314663299962,-1.1222331942532433
1900800010107003890501,19,2,2,2,10,7,1,9,4,2,5,6,1,46,0,1,0,0,-0.48238490089266206,-1.691062554465971
3105000014000021400301,31,2,2,2,5,5,5,6,2,2,3,2,1,31,0,0,0,1,-1.999698487977757,-1.5546469588483582
1306300260000001050501,13,5,2,2,10,8,4,6,2,3,5,7,1,45,0,1,0,0,-0.06298884226332235,-2.051672887344602
140970822194A030110401,14,2,6,4,4,8,3,9,4,9,9,2,1,41,0,0,0,1,-1.5304335039133294,-1.4177919293037615
0503000010252019640201,5,4,9,10,4,10,1,15,9,10,9,9,0,50,0,0,1,0,-0.2650866166785213,-1.1263129875405493
3012400010808030820402,30,3,2,2,7,6,5,8,4,4,1,1,0,43,0,0,1,0,-0.9707352241615768,-1.6085913113875714
1510400011809006250401,15,1,2,2,6,8,4,9,4,2,6,8,1,44,0,1,0,0,-1.0471800021674613,-1.1664193236423193
0900500011769022210101,9,2,2,2,8,9,4,12,7,4,7,8,1,58,0,1,0,0,0.08075405600017826,-1.1152019632641847
1801700010563018650401,18,4,11,2,3,8,2,16,9,9,9,8,0,33,0,0,0,1,-0.8532863439190561,-1.2885040070485834
2500100701218033570401,25,5,2,2,5,6,2,9,4,1,6,2,1,35,0,0,0,1,-0.7165209958479006,-2.1648863245886845
0100100012687040890401,1,4,2,2,1,10,3,16,9,4,8,9,1,44,0,1,0,0,-0.9610030719534453,-0.9333885144328881
1505700010512003230201,15,3,2,2,8,8,4,10,6,4,9,9,0,43,0,0,1,0,-0.5328284535631906,-1.4631911306374716
1304800011993001000401,13,3,11,6,1,9,4,20,10,10,10,10,1,36,0,0,1,0,-1.2404535990969145,-0.3782275394157905
2404900430609011680201,24,5,2,2,7,7,3,6,2,2,2,3,0,38,0,1,0,0,-0.9780902199425663,-2.273336385593072
0503000015126030660201,5,4,2,2,5,9,1,8,4,4,9,5,0,39,0,0,0,1,-0.7948668505788203,-1.7214669736835857
2501201620000001430201,25,5,2,2,18,10,2,2,1,1,1,5,0,62,0,1,0,0,1.7144482309498676,-2.722387947739106
1401800360000001190401,14,5,5,2,4,8,3,15,9,7,9,3,0,35,0,0,0,1,-1.078892532459317,-1.4275510172675927
2500600013475006550201,25,4,2,2,6,7,2,9,4,3,6,4,0,44,0,0,0,1,-0.30539968969778186,-2.0349510465477856
0200100019759001980401,2,4,2,2,4,5,1,9,4,4,8,5,1,37,0,0,0,1,-1.1987684339188571,-2.0182101644684973
2901800010056006170301,29,5,6,2,6,7,4,9,4,7,6,6,1,34,0,0,1,0,-0.9067623523952192,-1.79367661191615
1904800011007007910501,19,1,2,2,6,6,1,9,4,4,4,5,1,48,0,1,0,0,-0.9660852688541833,-1.5885224553681554
0803700016400003320501,8,4,2,2,6,8,1,6,2,4,8,10,1,60,0,1,0,0,0.12156066447181735,-2.093899638976883
3001600010088032280402,30,5,2,2,3,7,5,9,4,1,3,2,1,40,0,0,0,1,-1.0559456391140427,-1.562059577938125
1412000012350024120401,14,1,4,4,2,8,3,12,7,7,10,10,1,35,0,0,1,0,-2.056744647334911,-0.9713873300690442
0801900012556018330301,8,1,2,6,3,10,1,13,9,7,8,9,1,34,0,1,0,0,-1.584039673702144,-0.6750812815807596
1403000010302021110401,14,1,2,6,3,7,3,17,10,7,10,9,0,37,0,0,0,1,-1.7951247911090864,-0.7894957944983975
1505700010512038230201,15,2,2,98,2,10,4,11,7,4,10,10,0,62,0,0,1,0,-1.5876545556949977,-0.6079127790483021
1204600010411024770201,12,3,6,11,2,6,5,12,7,10,6,4,0,34,0,0,0,1,-1.8532204566175472,-1.1190266592808726
0503000015126030630301,5,5,98,2,5,7,1,9,4,2,5,2,1,34,0,0,0,1,-1.3428686093305753,-2.052940928826341
1403900015652010690401,14,3,6,4,4,11,3,18,10,9,9,8,0,36,0,0,0,1,-1.1441211944794238,-0.5833673823441272
1200100012346013760501,12,2,2,2,8,7,5,3,1,4,1,1,1,45,0,0,1,0,-1.0632617377203308,-1.7039432177159264
0500200013360017620301,5,4,5,5,4,7,1,16,9,9,9,8,0,32,0,0,0,1,-1.1498137359492553,-1.2879946836943346
1409800012841027120201,14,3,98,2,6,9,3,9,4,4,10,9,0,37,0,0,0,1,-1.6257059853755762,-1.628907291486732
280220001246A010100301,28,5,11,2,4,8,1,14,9,9,10,10,0,34,0,0,1,0,-0.8683695356421761,-1.4984529325253715
2603000011746038740501,26,2,2,2,10,7,1,9,4,4,6,4,1,63,0,0,0,1,0.29814609919493684,-1.8039812555486026
1505800011344001310401,15,2,4,2,4,9,4,9,4,7,9,7,1,40,0,0,0,1,-1.1870259705927195,-1.1319649837761296
1901800010461015890203,19,1,2,6,4,7,1,17,10,7,9,8,0,36,0,0,0,1,-1.4455957307071325,-0.8016041355192356
090050001263A019280201,9,2,5,5,3,8,4,17,10,9,10,8,0,50,0,0,0,1,-0.6746569347571185,-0.742437240454761
2900500010378025150201,29,5,2,2,12,8,4,9,4,3,1,2,0,52,0,1,0,0,0.5381863169571486,-1.9679733210137653
2006800010076058950201,20,5,2,2,4,5,5,9,4,2,6,7,0,52,0,1,0,0,-0.51269673384156,-1.9333047418070404
0500200011665022620401,5,1,6,6,3,7,1,18,10,9,10,8,0,35,0,0,0,1,-1.566487325316482,-0.7060393191253811
0900500011769022210101,9,2,2,2,8,9,4,12,7,4,7,8,1,58,0,1,0,0,0.08075405600017826,-1.1152019632641847
2402800012022027610501,24,2,2,2,6,7,3,6,2,3,7,8,1,57,0,1,0,0,-0.7189321661019171,-1.9003357799809777
2007200040000001020401,20,5,2,2,3,6,5,9,4,1,5,3,0,37,0,0,0,1,-1.230730503479039,-1.700283320625319
1410100010151006130202,14,3,2,98,8,6,3,6,2,4,7,3,0,39,0,0,0,1,-2.6185376408149317,-1.7112500499493266
140390001286A018190301,14,2,4,2,5,11,3,9,4,7,8,5,1,33,0,0,0,1,-1.5998977700664907,-1.0547934627967464
1610201030000001410202,16,5,2,2,9,7,3,2,1,1,2,4,0,63,0,1,0,0,0.2320560737429458,-2.772095133271471
3012300140815037810401,30,4,2,2,3,8,5,12,7,4,5,9,1,37,0,1,0,0,-1.2197970678158927,-1.0676197983392708
2111400011177028090202,21,3,2,2,5,8,4,17,10,4,3,10,0,40,0,1,0,0,-0.7359519658293414,-0.8715435992549945
1505700010512003230201,15,3,2,2,8,8,4,10,6,4,9,9,0,43,0,0,1,0,-0.5328284535631906,-1.4631911306374716
0708900011539004550401,7,5,6,4,7,8,5,6,2,9,4,1,1,35,0,0,0,1,-1.0070149394573478,-1.714678570319001
1102000011902010890251,11,2,2,2,11,9,4,6,2,3,6,6,0,55,0,0,1,0,0.05740668888647538,-1.6401062008323632
2401300010926034690201,24,4,2,2,8,7,3,17,10,1,4,7,0,48,0,1,0,0,-0.29111798375426146,-1.4172898717291709
090150001056A010090401,9,2,2,2,3,8,4,12,7,4,9,10,1,42,0,1,0,0,-1.1483787804395666,-1.0162227124860328
0900200011131006110401,9,2,4,4,3,10,4,12,7,7,8,10,0,37,0,1,0,0,-1.2776620048465908,-0.797803633295374
2018400010380005940201,20,4,4,2,6,7,5,6,2,4,2,3,0,31,1,1,0,0,-1.287769895660003,-1.3582268185986583
1000701230000001700102,10,5,2,2,6,6,2,9,4,3,5,3,1,35,0,0,0,1,-0.6292134340773395,-2.1859013411549224
0900500012019026850501,9,5,5,5,3,9,4,17,10,9,4,10,1,63,0,1,0,0,0.464222856873499,-1.1030467906187098
