objetivo,p05,p06,p09_1,p10_1,estatura,p21,p23,p24,p28,p38_11,p43,p38m_11,p43m,p60,p61,p64,p86,p87,p98,p122,p131,p132,p142,p143,p144,p151,region,escolaridadh,indigena,X4,probit_pred,count
2,43,1,1,1,173,69,16,3,5,77,2,66,2,11,6,18,70,0,16,5,0,1,18,2,20,7,3,10,0,6,5,4
6,40,2,5,8,163,73,7,5,10,78,10,76,10,6,4,22,28,3,17,5,1,1,26,3,23,7,5,12,0,9,10,3
6,60,1,5,4,169,79,9,2,4,86,2,87,2,5,1,16,87,37,23,5,0,1,17,1,18,6,4,9,0,6,5,0
7,35,1,1,1,178,80,9,1,5,50,2,50,4,2,2,18,80,12,18,5,1,1,25,3,26,6,4,12,0,9,10,2
5,25,1,4,4,175,70,30,4,3,60,2,55,2,4,4,17,48,2,10,6,0,1,21.55405,2.6724489,22.825521,6,5,12,0,2,1,-3
5,55,2,5,4,153,55,28,3,3,79,3,79,5,5,2,20,18,15,16,6,0,2,20,4,20,8,1,12,0,8,9,3
7,33,1,1,1,180,110,25,3,4,55,11,54,11,3,1,27,40,2,14,2,1,1,26,2,26,7,2,17,0,9,10,2
9,26,1,1,1,170,75,22,3,3,54,11,49,6,2,1,23,40,2,15,4,2,2,21.55405,2.6724489,22.825521,6,4,17,0,10,10,1
8,25,1,1,1,180,76,15,1,7,51,4,49,6,4,3,16.588694,36,0,14,10,1,3,21.55405,2.6724489,22.825521,8,4,14,0,10,10,2
10,49,1,1,1,172,84,9,1,5,71.321976,11,83,11,8,8,23,48,3,17,7,4,4,24,3,25,7,4,16,0,10,10,0
4,45,1,8,8,172,91,18,5,2,83,2,67.737869,2,3,2,16,50,6,20,3,0,1,21.55405,2.6724489,22.825521,6,2,15,0,6,5,2
2,38,1,4,4,165,82,30,3,4,65,4,50,2,4,4,22,72,10,15,4,0,1,21.55405,2.6724489,22.825521,6,5,14,0,1,1,-1
2,36,1,5,4,170,75,26,5,4,67,2,63,2,4,3,15,48,12,24,5,0,1,21.55405,2.6724489,22.825521,8,1,9,0,2,1,0
3,42,1,4,4,160,76,12,4,3,76,2,64,2,6,3,17,66,21,14,4,0,2,17,3,18,4,5,8,1,1,1,-2
3,27,2,7,8,159,55,16,2,5,50,4,45,3,2,1,24,24,2,24,5,0,1,21.55405,2.6724489,22.825521,7,3,16,0,9,10,6
9,57,1,7,6,170,83,18,4,5,71.321976,98,67.737869,98,3,2,36,60,16,41,4,1,1,28,3,30,6,3,16,0,10,10,1
2,40,1,1,1,165,80,11,4,5,67,2,63,2,4,4,23,50,4,18,5,1,2,22,2,23,6,4,17,0,10,10,8
8,44,2,4,8,160,70,15,1,4,97,2,80,2,6,4,14,73,23,14,8,1,1,21.55405,2,19,8,4,9,0,8,9,0
10,45,2,2,2,156,68,21,4,6,73,2,66,9,4,2,22,20,20,22,7,1,2,31,3,34,7,4,16,0,10,10,0
10,43,1,1,1,180,101,9,4,2,70,2,65,5,5,1,18,50,3,18,4,1,1,22,2,29,9,4,12,0,10,10,0
9,31,1,8,1,170,68,16,4,2,61,2,61,3,2,1,18,50,12,17,4,0,1,21,1,23,7,3,12,0,8,9,-1
10,44,1,1,1,170,68,11,2,5,76,5,72,5,4,3,18,60,13,19,5,2,2,19,2,20,9,4,12,0,10,10,0
8,27,1,7,8,169,64,9,2,5,61,6,69,7,5,5,25,10,1,19,9,2,4,21.55405,2.6724489,22.825521,9,4,16,0,10,10,2
10,41,1,1,1,169,75,9,1,4,68,2,65,3,2,1,15,56,4,19,4,0,1,18,2,22,6,4,9,0,6,5,-4
10,36,1,8,8,178,85,18,5,3,62,4,58,4,3,2,18,20,16,20,3,1,2,22,2,23,8,2,12,0,6,5,-4
1,28,2,5,4,140,55,20,5,2,55,2,53,2,2,2,12,20,10,18,2,0,2,20,2,22,4,5,6,0,1,1,0
1,58,1,5,4,167,68,17,5,2,94,2,83,2,4,3,27,40,43,13,2,0,1,24,4,23,7,4,15,0,3,1,2
5,29,2,8,8,150,43,15,4,3,58,2,53,4,8,4,13,16,0,13,2,0,2,16,3,17,8,4,7,0,1,1,-4
